GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
customerservice,spring.api.customerservice.api.dto,VehicleDto,0,27,0,0,0,1,0,1,0,1
customerservice,spring.api.customerservice.api.dto,AppointmentCreateDto,0,4,0,0,0,1,0,1,0,1
customerservice,spring.api.customerservice,CustomerserviceApplication,8,0,0,0,3,0,2,0,2,0
customerservice,spring.api.customerservice.api,AppointmentController,240,106,11,5,58,27,14,3,7,2
customerservice,spring.api.customerservice.api,CustomerController,14,135,1,7,3,29,3,5,2,2
customerservice,spring.api.customerservice.api,GlobalExceptionHandler,37,43,0,0,7,9,2,3,2,3
customerservice,spring.api.customerservice.api,HealthController,9,0,0,0,2,0,2,0,2,0
customerservice,spring.api.customerservice.api,ServiceController,350,0,44,0,88,0,29,0,7,0
customerservice,spring.api.customerservice.api,TrackingController,33,64,3,5,7,14,5,3,2,2
customerservice,spring.api.customerservice.api,PaymentController,598,0,48,0,140,0,36,0,12,0
customerservice,spring.api.customerservice.api,SubscriptionController,244,0,10,0,53,0,14,0,9,0
customerservice,spring.api.customerservice.api,ServiceCenterController,21,0,0,0,4,0,3,0,3,0
customerservice,spring.api.customerservice.api,VehicleController,53,278,5,13,9,64,10,12,5,8
customerservice,spring.api.customerservice.api,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
customerservice,spring.api.customerservice.config,JacksonConfig,19,0,0,0,5,0,2,0,2,0
customerservice,spring.api.customerservice.config,WebConfig,41,0,0,0,11,0,4,0,4,0
customerservice,spring.api.customerservice.config,SecurityConfig,31,0,0,0,7,0,4,0,4,0
customerservice,spring.api.customerservice.config,DatabaseSchemaInitializer,34,0,4,0,10,0,4,0,2,0
customerservice,spring.api.customerservice.domain,UserRole,0,27,0,0,0,5,0,1,0,1
customerservice,spring.api.customerservice.domain,Payment,11,0,0,0,5,0,2,0,2,0
customerservice,spring.api.customerservice.domain,Payment.PaymentMethod,27,0,0,0,2,0,1,0,1,0
customerservice,spring.api.customerservice.domain,AppointmentStatus,0,39,0,0,0,7,0,1,0,1
customerservice,spring.api.customerservice.domain,Appointment,11,0,0,0,5,0,2,0,2,0
customerservice,spring.api.customerservice.domain,Payment.PaymentStatus,33,0,0,0,2,0,1,0,1,0
customerservice,spring.api.customerservice.domain,SubscriptionStatus,27,0,0,0,5,0,1,0,1,0
customerservice,spring.api.customerservice.service,AppointmentService,221,67,16,4,55,15,16,5,7,4
customerservice,spring.api.customerservice.service,SubscriptionService,244,0,6,0,55,0,16,0,13,0
customerservice,spring.api.customerservice.security,JwtAuthenticationFilter,96,0,10,0,27,0,8,0,3,0
